ANOMES,ANOEXERCICIO,MES,NOMEORGAO,CNPJORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,1666666.67,"CONTRIBUIÇÃO DO FOMENTAR/PRODUZIR - LEI Nº 18.360/13"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,1666666.67,"CONTRIBUIÇÃO DO FOMENTAR/PRODUZIR - LEI Nº 18.360/13"
201501,2015,Jan,"PROTEGE GOIAS",6084202000145,Direta,Executivo,1666666.67,"CONTRIBUIÇÃO DO FOMENTAR/PRODUZIR - LEI Nº 18.360/13"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,6.316675E7,"CONTRIBUIÇÃO PATRONAL DE SERVIDOR ATIVO CIVIL PARA O REGIME PRÓPRIO"
201501,2015,Jan,"FUNDO FIN. PREV. SERVIDOR",18867930000102,Indireta,Executivo,6.25E7,"CONTRIBUIÇÃO PATRONAL DE SERVIDOR ATIVO CIVIL PARA O REGIME PRÓPRIO"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,2.383333333E7,"CONTRIBUIÇÃO PATRONAL DE SERVIDOR ATIVO MILITAR"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,1.30425E7,"CONTRIBUIÇÕES AO PROTEGE"
201501,2015,Jan,"FUNDO PREVIDENCIÁRIO",18867918000106,Indireta,Executivo,83.33,"CONTRIBUIÇÕES DE PENSIONISTA CIVIL PARA O REGIME PRÓPRIO"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,232500.0,"CONTRIBUIÇÕES DE PENSIONISTA MILITAR"
201501,2015,Jan,"FUNDO FIN. PREV. MILITAR",18798607000124,Indireta,Executivo,1266666.67,"CONTRIBUIÇÕES DE SERVIDOR INATIVO MILITAR"
201501,2015,Jan,"FUNDO FIN. PREV. SERVIDOR",18867930000102,Indireta,Executivo,3416666.67,"CONTRIBUIÇÕES DO SERVIDOR INATIVO CIVIL PARA O REGIME PRÓPRIO"
201501,2015,Jan,"FUNDO PREVIDENCIÁRIO",18867918000106,Indireta,Executivo,83.33,"CONTRIBUIÇÕES DO SERVIDOR INATIVO CIVIL PARA O REGIME PRÓPRIO"
201501,2015,Jan,"GOIÁS PREVIDÊNCIA",11991625000189,Indireta,Executivo,83.33,"CONTRIBUIÇÕES DO SERVIDOR INATIVO CIVIL PARA O REGIME PRÓPRIO"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,8.841666667E7,"CONTRIBUIÇÕES P/ ASSISTÊNCIA HOSPITALAR E INTEGRAL"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,5.321650001E7,"CONTRIBUIÇÕES PARA O REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR PÚBLICO"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,8.700008333E7,"CONTRIBUIÇÕES PARA REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR PÚBLICO"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,8.700033333E7,"CONTRIBUIÇÕES PARA REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR PÚBLICO"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,1.3757274999E8,"CONTRIBUIÇÕES SOCIAIS"
201501,2015,Jan,"FUNDO DE ASSISTÊNCIA SOCIAL - FEAS",,Direta,Executivo,12083.33,"CONTRIBUIÇÕES SOCIAIS"
201501,2015,Jan,"FUNDO FIN. PREV. MILITAR",18798607000124,Indireta,Executivo,3.724925E7,"CONTRIBUIÇÕES SOCIAIS"
201501,2015,Jan,"FUNDO FIN. PREV. SERVIDOR",18867930000102,Indireta,Executivo,9.896675E7,"CONTRIBUIÇÕES SOCIAIS"
201501,2015,Jan,"FUNDO PREVIDENCIÁRIO",18867918000106,Indireta,Executivo,1333750.0,"CONTRIBUIÇÕES SOCIAIS"
201501,2015,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,1664166.67,"COTA PARTE DA COMPENSAÇÃO FINANCEIRA DE RECURSOS MINERAIS - CFEM"
201501,2015,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,7198250.0,"COTA-PARTE DA COMPENSAÇÃO FINANCEIRA DE RECURSOS HÍDRICOS"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,1.8244308333E8,"COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS ESTADOS E DO DISTRITO FEDERAL"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,757500.0,"COTA-PARTE DO FUNDO ESPECIAL DO PETRÓLEO - FEP"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,757500.0,"COTA-PARTE DO FUNDO ESPECIAL DO PETRÓLEO - FEP"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,83.33,"COTA-PARTE DO IMPOSTO S/OPERAÇÕES DE CRÉDITO, CÂMBIO E SEGURO OU  RELATIVAS A TÍTULOS OU VALORES MOBILIÁRIOS -  COMERCIA"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,3750.0,"CRÉDITO ESPECIAL DE INVESTIMENTO - PROTEGE GOIÁS (LEI Nº 15.454/05)"
201501,2015,Jan,"PROTEGE GOIAS",6084202000145,Direta,Executivo,3750.0,"CRÉDITO ESPECIAL DE INVESTIMENTO - PROTEGE GOIÁS (LEI Nº 15.454/05)"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,-1834500.0,"DEDUÇÃO  DE RECEITA PARA FORMAÇÃO DO FUNDEB - IPI EXPORTAÇÃO"
201501,2015,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,-1834500.0,"DEDUÇÃO  DE RECEITA PARA FORMAÇÃO DO FUNDEB - IPI EXPORTAÇÃO"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,-4.9122566667E8,"DEDUÇÃO DA RECEITA DE ICMS PARA  FORMAÇÃO DO FUNDEB"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,-1.8164591667E8,"DEDUÇÃO DA RECEITA DE ICMS PARA FORMAÇÃO DO FUNDEB"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,-1.8164591667E8,"DEDUÇÃO DA RECEITA DE ICMS PARA FORMAÇÃO DO FUNDEB"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,-5.32875E7,"DEDUÇÃO DA RECEITA DE IPVA"
201501,2015,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,-8881250.0,"DEDUÇÃO DA RECEITA DE IPVA PARA FORMAÇÃO DO FUNDEB"
201501,2015,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,-3590083.33,"DEDUÇÃO DA RECEITA DE ITCD"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,-3590083.33,"DEDUÇÃO DA RECEITA DE ITCD PARA A FORMAÇÃO DO FUNDEB"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,-481166.67,"DEDUÇÃO DA RECEITA DE SERVICOS DE PROCESSAMENTO DE DADOS"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,-3.0274325E8,"DEDUÇÃO DA RECEITA DE TRANSFERÊNCIAS CONSTITUCIONAIS AOS MUNICÍPIOS - ICMS"
201501,2015,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,-3.0274325E8,"DEDUÇÃO DA RECEITA DE TRANSFERÊNCIAS CONSTITUCIONAIS AOS MUNICÍPIOS - ICMS"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,-2293166.67,"DEDUÇÃO DA RECEITA DE TRANSFERÊNCIAS CONSTITUCIONAIS AOS MUNICÍPIOS - IPI"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,-2293166.67,"DEDUÇÃO DA RECEITA DE TRANSFERÊNCIAS CONSTITUCIONAIS AOS MUNICÍPIOS - IPI"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,-4.440625E7,"DEDUÇÃO DA RECEITA DE TRANSFERÊNCIAS CONSTITUCIONAIS AOS MUNICÍPIOS - IPVA"
201501,2015,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,-4.440625E7,"DEDUÇÃO DA RECEITA DE TRANSFERÊNCIAS CONSTITUCIONAIS AOS MUNICÍPIOS - IPVA"
201501,2015,Jan,"DEP. EST. DE TRANSITO DE GOIAS- DETRAN",2872448000120,Indireta,Executivo,-1.619083333E7,"DEDUÇÃO DA RECEITA TRIBUTÁRIA"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,-5.6807733333E8,"DEDUÇÃO DA RECEITA TRIBUTÁRIA"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,-5.4126675E8,"DEDUÇÃO DA RECEITA TRIBUTÁRIA"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,-1.653666666E7,"DEDUÇÃO DA RECEITA TRIBUTÁRIA"
201501,2015,Jan,FUNPRODUZIR,,Direta,Executivo,-3437416.67,"DEDUÇÃO DA RECEITA TRIBUTÁRIA"
201501,2015,Jan,"PROTEGE GOIAS",6084202000145,Direta,Executivo,-6836500.0,"DEDUÇÃO DA RECEITA TRIBUTÁRIA"
201501,2015,Jan,"DEP. EST. DE TRANSITO DE GOIAS- DETRAN",2872448000120,Indireta,Executivo,-481166.67,"DEDUÇÃO DA SERVIÇO DE UTILIZAÇÃO DO SISTEMA OPERACIONAL DO DETRAN"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,-481166.67,"DEDUÇÃO DA SERVIÇO DE UTILIZAÇÃO DO SISTEMA OPERACIONAL DO DETRAN"
201501,2015,Jan,"PROTEGE GOIAS",6084202000145,Direta,Executivo,-6836500.0,"DEDUÇÃO DE ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À POBREZA"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,-250.0,"DEDUÇÃO DE DEMAIS RECEITAS"
201501,2015,Jan,"AG. GOIANA  SIST.  EXEC.  PENAL - AGESEP",13199944000181,Indireta,Executivo,-20000.0,"DEDUÇÃO DE INDENIZAÇÃO E RESTITUIÇÕES"
201501,2015,Jan,DETRAN,,Indireta,Executivo,-20000.0,"DEDUÇÃO DE INDENIZAÇÃO E RESTITUIÇÕES"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,-416.67,"DEDUÇÃO DE MULTAS DE JUROS DE MORA DOS TRIBUTOS"
201501,2015,Jan,AGRODEFESA,,Indireta,Executivo,-33833.33,"DEDUÇÃO DE MULTAS DE OUTRAS ORIGENS"
201501,2015,Jan,DETRAN,,Indireta,Executivo,-849666.67,"DEDUÇÃO DE MULTAS DE OUTRAS ORIGENS"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,-883500.0,"DEDUÇÃO DE MULTAS DE OUTRAS ORIGENS"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,-883500.0,"DEDUÇÃO DE MULTAS DE OUTRAS ORIGENS"
201501,2015,Jan,AGRODEFESA,,Indireta,Executivo,-34416.67,"DEDUÇÃO DE MULTAS E  JUROS DE MORA"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,-884083.34,"DEDUÇÃO DE MULTAS E  JUROS DE MORA"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,-166.67000000000002,"DEDUÇÃO DE MULTAS E JUROS DE MORA DE OUTRAS RECEITAS"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,-833.34,"DEDUÇÃO DE MULTAS E JUROS DE MORA DE OUTROS TRIBUTOS"
201501,2015,Jan,"AG. GOIANA  SIST.  EXEC.  PENAL - AGESEP",13199944000181,Indireta,Executivo,-849666.67,"DEDUÇÃO DE MULTAS PREVISTA NA LEGISLAÇÃO DE TRANSITO"
201501,2015,Jan,DETRAN,,Indireta,Executivo,-849666.67,"DEDUÇÃO DE MULTAS PREVISTA NA LEGISLAÇÃO DE TRANSITO"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,-849666.67,"DEDUÇÃO DE MULTAS PREVISTA NA LEGISLAÇÃO DE TRANSITO"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,-333.34000000000003,"DEDUÇÃO DE OUTRAS MULTAS E JUROS DE MORA"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,-333.34000000000003,"DEDUÇÃO DE OUTRAS MULTAS E JUROS DE MORA"
201501,2015,Jan,DETRAN,,Indireta,Executivo,-20000.0,"DEDUÇÃO DE OUTRAS RESTITUIÇÕES"
201501,2015,Jan,FUNPRODUZIR,,Direta,Executivo,-3437416.67,"DEDUÇÃO DE OUTRAS TAXAS PELA PRESTAÇÃO DE SERVIÇOS"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,-3.648858333E7,"DEDUÇÃO DE RECEITA PARA  A FORMAÇÃO DO FUNDEB - FPE"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,-325333.33,"DEDUÇÃO DE RECEITA PARA FORMAÇÃO DO FUNDEB - ICMS DESONERAÇÃO - LEI COMPLEMENTAR Nº 87/96"
201501,2015,Jan,"AG. GOIANA  SIST.  EXEC.  PENAL - AGESEP",13199944000181,Indireta,Executivo,-481166.67,"DEDUÇÃO DE RECEITAS DE SERVIÇOS"
201501,2015,Jan,"DEP. EST. DE TRANSITO DE GOIAS- DETRAN",2872448000120,Indireta,Executivo,-481166.67,"DEDUÇÃO DE RECEITAS DE SERVIÇOS"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,-20000.0,"DEDUÇÃO DE RESTITUIÇÕES"
201501,2015,Jan,AGRODEFESA,,Indireta,Executivo,-5333.33,"DEDUÇÃO DE SERVIÇOS AGROPECUÁRIOS"
201501,2015,Jan,AGRODEFESA,,Indireta,Executivo,-5250.0,"DEDUÇÃO DE SERVIÇOS DE ANÁLISE LABORATORIAL"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,-60666.67,"DEDUÇÃO DE TAXA DE ANTECIPAÇÃO - LOGPRODUZIR"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,-60666.67,"DEDUÇÃO DE TAXA DE ANTECIPAÇÃO - LOGPRODUZIR"
201501,2015,Jan,AGRODEFESA,,Indireta,Executivo,-2000.0,"DEDUÇÃO DE TAXA DE EXPEDIÇÃO DE DOCUMENTOS"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,-2000.0,"DEDUÇÃO DE TAXA DE EXPEDIÇÃO DE DOCUMENTOS"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,-10166.67,"DEDUÇÃO DE TAXA DE REGISTRO DE AGROINDÚSTRIA"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,-260083.33000000002,"DEDUÇÃO DE TAXA DE TRÂNSITO ANIMAL GTA"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,-10500.0,"DEDUÇÃO DE TAXA DE TRÂNSITO VEGETAL - PTV/ATV"
201501,2015,Jan,"AG. GOIANA  SIST.  EXEC.  PENAL - AGESEP",13199944000181,Indireta,Executivo,-1.619083333E7,"DEDUÇÃO DE TAXAS"
201501,2015,Jan,"DEP. EST. DE TRANSITO DE GOIAS- DETRAN",2872448000120,Indireta,Executivo,-1.619083333E7,"DEDUÇÃO DE TAXAS"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,-3437416.67,"DEDUÇÃO DE TAXAS"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,-3181750.0,"DEDUÇÃO DE TAXAS DE ANTECIPAÇÃO - PRODUZIR"
201501,2015,Jan,"DEP. EST. DE TRANSITO DE GOIAS- DETRAN",2872448000120,Indireta,Executivo,-1.619083333E7,"DEDUÇÃO DE TAXAS DE SERVIÇOS ESTADUAIS"
201501,2015,Jan,"AG. GOIANA  SIST.  EXEC.  PENAL - AGESEP",13199944000181,Indireta,Executivo,-1.619083333E7,"DEDUÇÃO DE TAXAS PELA PRESTAÇÃO DE SERVIÇOS"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,-1.997408333E7,"DEDUÇÃO DE TAXAS PELA PRESTAÇÃO DE SERVIÇOS"
201501,2015,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,-5.687758333E7,"DEDUÇÃO DO IMPOSTO SOBRE O PATRIMÔNIO E A RENDA"
201501,2015,Jan,DETRAN,,Indireta,Executivo,-1.754191667E7,"DEDUÇÕES DA RECEITA CORRENTE"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,-6.1040975E8,"DEDUÇÕES DA RECEITA CORRENTE"
201501,2015,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,-5.8220833333E8,"DEDUÇÕES DA RECEITA CORRENTE"
201501,2015,Jan,"AG. GOIANA  SIST.  EXEC.  PENAL - AGESEP",13199944000181,Indireta,Executivo,-250.0,"DEDUÇÕES DE OUTRAS RECEITAS"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,-250.0,"DEDUÇÕES DE OUTRAS RECEITAS"
201501,2015,Jan,AGRODEFESA,,Indireta,Executivo,-34416.67,"DEDUÇÕES DE OUTRAS RECEITAS CORRENTES"
201501,2015,Jan,DETRAN,,Indireta,Executivo,-869916.67,"DEDUÇÕES DE OUTRAS RECEITAS CORRENTES"
201501,2015,Jan,"DEP. EST. DE TRANSITO DE GOIAS- DETRAN",2872448000120,Indireta,Executivo,-250.0,"DEDUÇÕES DE RECEITAS DIVERSAS"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,23083.32,"DEMAIS CONTRIBUIÇÕES SOCIAIS"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,10749.99,"DEMAIS INDENIZAÇÕES"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,10500.0,"DEMAIS INDENIZAÇÕES"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,227833.32,"DEMAIS MULTAS"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,92166.67,"DEMAIS MULTAS"
201501,2015,Jan,"AGÊNCIA GOIANA DE TURISMO - GOIASTURISMO",,Indireta,Executivo,160000.0,"DEMAIS RECEITAS"
201501,2015,Jan,EMATER,,Indireta,Executivo,249.99,"DEMAIS RECEITAS"
201501,2015,Jan,"ESTADO DE GOIAS - PODER JUDICIARIO",,N/A,N/A,1659750.0,"DEMAIS RECEITAS"
201501,2015,Jan,"FUNDO DE FINANC. DO BANCO DO POVO GOIÁS",17850814000118,Direta,Executivo,91666.67,"DEMAIS RECEITAS"
201501,2015,Jan,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",3280530000129,Direta,Executivo,5323666.66,"DEMAIS RECEITAS"
201501,2015,Jan,"FUNDO ESPECIAL ENFRENTAMENTO AS DROGAS",,Direta,Executivo,65000.0,"DEMAIS RECEITAS"
201501,2015,Jan,"FUNDO ESTADUAL DE ESPORTES",804776000164,Direta,Executivo,3458333.33,"DEMAIS RECEITAS"
